1: 2 7, 1 L
2: 1 3 4 9, 1 1 1 L
3: 2 10, 1 L
4: 2 15, 1 L
5: 6 32, 0.9 L
6: 5 7, 0.9 1.2
7: 6 8 9 10, 1.2 1.41 1 1.41
8:
9: 8 10 15 7, 1 1 1 1
10: 9 11, 1 2.25
11: 40 12 13, L 1.5 0.6
12: 11 14, 1.5 1.5
13: 11 14, 0.6 1.7
14: 13 12 42, 1.7 1.5 L
15: 8 17 10 9, 1.41 0.5 1.41 1
16: 50 17, L 1.6
17: 15 16 90 19 48, 0.5 1.6 0.8 0.6 L
18: 90 21 46, 0.7 0.5 L
19: 17 22 20, 0.6 0.9 0.8
20: 19 21 23 90, 0.8 0.7 0.95 0.55
21: 18 24 20, 0.5 1 0.7
22: 19 23 49, 0.9 0.8 L
23: 22 20 24, 0.8 0.95 0.7
24: 23 21, 0.7 1
25:
26: 25 28, 2 0.6
27:
28: 26 29 30, 0.6 0.6 0.6
29: 28, 0.6
30: 28 31 27, 0.6 0.8 0.7
31: 30 32 33, 0.8 0.5 1.1
32: 5 31, L 0.5
33: 35 34 31, 0.5 0.6 1.1
34: 33 36, 0.6 0.5
35: 33 36, 0.5 0.7
36: 34 35 37, 0.5 0.7 0.85
37: 36 38 40, 0.85 1.65 1.5
38: 37 39, 1.65 1.5
39: 38 41, 1.5 3
40: 11 37 43, L 1.5 1.5
41: 39 42, 3 1.5
42: 14 41 43, L 1.5 1.65
43: 42 40, 1.65 1.5
44: 43 45 46, 0.8 1.3 0.65
45: 44 47, 1.3 0.6
46: 18 47, L 1.5
47: 45 46 49, 0.6 1.5 1.5
48: 17 46 50 49, L 1.5 1.6 1.5
49: 51 47 48 22, 1.7 1.5 1.5 L
50: 16 48 51, L 1.6 1.3
51: 49 50 52, 1.7 1.3 4
52: 51 53, 4 1
53:
54: 55 58, 1.8 1.3
55: 54 26 56 59, 1.8 L 1.7 1.2
56: 55 57 60, 1.7 0.7 1
57: 56 61, 0.7 0.9
58: 54 59, 1.3 1.7
59: 29 60 58 55, L 1.6 1.7 1.2
60: 59 61 56 32, 1.6 0.6 1 L
61: 60 62 57, 0.6 0.7 0.9
62: 65 61 63, 1.5 0.7 1.65
63: 62 64 38, 1.65 1.5 L
64: 39 63 66, L 1.5 3
65: 62 67 40, 1.5 1.5 L
66: 41 64 67, L 3 3.15
67: 65 66 68, 1.5 3.15 1.3
68: 67 70 69, 1.3 0.65 1.3
69: 68 71, 1.3 0.6
70: 68 71 72 46, 0.65 1.5 1.5 L
71: 70 69 73, 1.5 0.6 1.5
72: 73 70 74, 1.6 1.5 1.6
73: 72 75 71, 1.6 1.7 1.5
74: 50 75 72, L 1.65 1.6
75: 76 73 74, 4 1.7 1.65
76: 52 75, L 4
77: 78 79, 1.8 1.3
78: 77 55 80 81, 1.8 L 1.2 1.7
79: 77 80, 1.3 1.7
80: 79 78 82 59, 1.7 1.2 1.6 L
81: 78 82 83, 1.7 1 0.7
82: 81 80 84, 1 1.6 0.6
83: 81 84, 0.7 0.9
84: 83 82 85, 0.9 0.6 0.7
85: 84 89 86, 0.7 1.5 3.15
86: 85 87, 3.15 3
87: 88 85, 3.15 3
88: 89 87, 1.5 3.15
89: 65 88 85, L 1.5 1.5
90: 17 18 20, 0.8 0.7 0.55
